system:index,H2O,LEDAPS,O3,bkgd_BT,bkgd_TIR,cloud_count,date,doy,lake_BT,lake_TIR,lake_count,lake_mean_rad,solar_z,valid_count,.geo
LC80810712014320LGN00,4.209999847412109,"{shadow_count=48.0, cloud_count=2779.0, water_count=92.0, snow_count=0.0, lake_SR={blue=0.2698391304347827, green=0.2612869565217392, red=0.19170326086956524, nir=0.04157391304347826, swir1=0.029052173913043478, swir2=0.029971739130434792}}",0.2643725490196078,19.18261740090964,8.521029696400909,2677.0,2014-11-16T22:49:41,320.95117436342593,20.079372032015932,8.639751043111016,357.0,"{blue=186.63715419418725, green=152.27195401263558, red=99.90827465124678, nir=23.551869880533268, swir1=3.417665477703177, swir2=0.9482267186125866, tir1=8.639751043111016, tir2=7.724751422989785}",24.42364501953125,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712014352LGN00,3.8099998474121093,"{shadow_count=183.0, cloud_count=427.0, water_count=2043.0, snow_count=0.0, lake_SR={blue=0.2527803720019579, green=0.24370783162016624, red=0.1683891336270185, nir=0.031892951541850206, swir1=0.01122618697993148, swir2=0.009900930004894776}}",0.26242708333333337,21.175201168223325,8.787258468846378,621.0,2014-12-18T22:49:36,352.9511213541667,25.587524698343618,9.398042025745276,2147.0,"{blue=170.14823128256998, green=136.94326843443085, red=82.13726472325231, nir=13.607800590173694, swir1=1.031541711946192, swir2=0.24029084795679936, tir1=9.398042025745276, tir2=8.449270667955687}",27.75808334350586,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712015003LGN00,5.009999847412109,"{shadow_count=0.0, cloud_count=2952.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.2568888888888889,,,2952.0,2015-01-03T22:49:31,3.951062210648148,,,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.43722152709961,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712015019LGN00,4.829999923706055,"{shadow_count=137.0, cloud_count=2415.0, water_count=347.0, snow_count=0.0, lake_SR={blue=0.34478991354466865, green=0.33083400576368904, red=0.2089734870317002, nir=0.046206051873198824, swir1=0.026461383285302564, swir2=0.02328242074927956}}",0.2510252100840336,15.118362154279437,7.986676538791341,2275.0,2015-01-19T22:49:28,19.951024328703703,18.60481180502951,8.442302082138447,691.0,"{blue=191.7680371719953, green=156.63559388210282, red=89.82217970040429, nir=20.62444522436951, swir1=2.9967424783662944, swir2=0.7841680577511201, tir1=8.442302082138447, tir2=7.525653598190746}",30.639484405517578,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712015035LGN00,4.75,"{shadow_count=0.0, cloud_count=2952.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25133958333333334,,,2952.0,2015-02-04T22:49:25,35.95098457175926,,,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.447330474853516,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712015051LGN00,5.240000152587891,"{shadow_count=0.0, cloud_count=0.0, water_count=2315.0, snow_count=0.0, lake_SR={blue=0.259360086393089, green=0.24311723542116628, red=0.14446907127429812, nir=0.03189153347732186, swir1=0.017707904967602606, swir2=0.014320172786177076}}",0.24788839285714287,17.86970298636164,8.344850083662875,647.0,2015-02-20T22:49:18,51.950904074074074,22.26495529524025,8.93579049001428,2141.0,"{blue=165.26586696873116, green=131.28481605588618, red=69.37400318939362, nir=11.706777789124315, swir1=1.1759819736775896, swir2=0.2854274707381009, tir1=8.93579049001428, tir2=7.856279835805338}",32.19593811035156,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712015067LGN00,4.44000015258789,"{shadow_count=0.0, cloud_count=2952.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25005555555555553,,,2952.0,2015-03-08T22:49:09,67.95080637731482,,,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.31643295288086,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712015083LGN00,3.5200000762939454,"{shadow_count=418.0, cloud_count=943.0, water_count=1222.0, snow_count=0.0, lake_SR={blue=0.23648518821603973, green=0.24418731587561354, red=0.1635018003273325, nir=0.029594762684124323, swir1=0.014856873977086738, swir2=0.013534124386252016}}",0.250375,20.441912644909273,8.687585758422351,1053.0,2015-03-24T22:49:00,83.95070484953703,25.21014947495702,9.344324210291786,1736.0,"{blue=137.8590918569021, green=115.66225284514391, red=68.33525301312196, nir=11.306594072284513, swir1=1.1809282675737538, swir2=0.3031375262666867, tir1=9.344324210291786, tir2=8.534310375535158}",35.14520263671875,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712015099LGN00,4.2,"{shadow_count=0.0, cloud_count=2952.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.24986274509803924,8.489656982421875,7.162041982701048,2948.0,2015-04-09T22:48:51,99.9505978125,,,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",37.726104736328125,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
LC80810712015115LGN00,3.9400001525878907,"{shadow_count=153.0, cloud_count=173.0, water_count=2199.0, snow_count=0.0, lake_SR={blue=0.21995657116871312, green=0.2463670759436108, red=0.1641638017280581, nir=0.026149840836744036, swir1=0.00851227830832196, swir2=0.006932469304229229}}",0.25295089285714284,20.66807603265177,8.718839908313598,442.0,2015-04-25T22:48:48,115.95055634259259,24.571551247248575,9.254368543139352,2268.0,"{blue=122.34295649082577, green=110.7344812587063, red=63.58939818978043, nir=7.745978140884459, swir1=0.4460533468778647, swir2=0.10637683032198178, tir1=9.254368543139352, tir2=8.48794854413681}",40.89474868774414,"{blue=2952, green=2952, red=2952, nir=2952, swir1=2952, swir2=2952, tir1=2952, tir2=2952}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82157,-15.38674],[167.82045,-15.38972],[167.82389,-15.39659],[167.82706,-15.39767],[167.840195,-15.395349],[167.84174,-15.39237],[167.83908,-15.386],[167.82938,-15.38294],[167.82157,-15.38674]]]}"
