system:index,H2O,LEDAPS,O3,date,doy,solar_z,swir,tir,vnir,.geo
LC80820702015266LGN00,3.1200000762939455,"{cloud_count=0.0, shadow_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.254,2015-09-23T22:55:15,266.95504203703706,30.35016632080078,"{swir1=null, swir2=null}","{bkgd_rad={tir1=9.057799767095146, tir2=8.417511867955476}, lake_rad={tir1=null, tir2=null}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=2399.0}, mean_radiance={blue=null, green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820702015282LGN00,3.6099998474121096,"{cloud_count=1151.0, shadow_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.271,2015-10-09T22:55:17,282.95506037037035,26.607681274414062,"{swir1=7.910803254445394, swir2=1.98574401140213}","{bkgd_rad={tir1=7.2726315985718735, tir2=6.872223951831875}, lake_rad={tir1=7.326204427083334, tir2=6.939267539978028}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=18.0}, mean_radiance={blue=109.2360600789388, green=88.0695681254069, red=61.423030344645184, nir=30.85214182535807}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820702015298LGN00,4.090000152587891,"{cloud_count=208.0, shadow_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.258,2015-10-25T22:55:21,298.95511149305554,24.433334350585938,"{swir1=null, swir2=null}","{bkgd_rad={tir1=6.1619212878277025, tir2=5.536512883583904}, lake_rad={tir1=null, tir2=null}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=0.0}, mean_radiance={blue=null, green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820702015314LGN00,3.720000076293945,"{cloud_count=0.0, shadow_count=0.0, water_count=259.0, snow_count=0.0, lake_SR={blue=0.22408648648648646, green=0.2422054054054054, red=0.1743745173745175, nir=0.06435945945945949, swir1=0.05131891891891895, swir2=0.04530308880308879}}",0.255,2015-11-10T22:55:22,314.9551218171296,24.173126220703125,"{swir1=8.561384324144923, swir2=2.327853985726756}","{bkgd_rad={tir1=8.808970717592173, tir2=7.965437599380097}, lake_rad={tir1=8.970527549343215, tir2=8.06934345509757}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=2359.0}, mean_radiance={blue=216.39770446034277, green=197.7112182021006, red=131.3765041560846, nir=43.622388957445914}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820702015330LGN00,3.7700000762939454,"{cloud_count=620.0, shadow_count=5.0, water_count=35.0, snow_count=0.0, lake_SR={blue=0.10765714285714287, green=0.11552857142857145, red=0.10122285714285718, nir=0.07368285714285716, swir1=0.0691457142857143, swir2=0.06378285714285713}}",0.27,2015-11-26T22:55:25,330.9551559722222,25.420021057128906,"{swir1=6.89414874741111, swir2=1.8818328273766356}","{bkgd_rad={tir1=8.677246653987327, tir2=8.039256479311097}, lake_rad={tir1=8.858595890241142, tir2=8.149047300884417}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=2330.0}, mean_radiance={blue=199.40173306992244, green=174.70961570739746, red=115.02291143951808, nir=37.68762028309251}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820702015346LGN00,4.429999923706054,"{cloud_count=1569.0, shadow_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.262,2015-12-12T22:55:23,346.9551324537037,27.316864013671875,"{swir1=null, swir2=null}","{bkgd_rad={tir1=6.9920001566188485, tir2=6.429974693014766}, lake_rad={tir1=null, tir2=null}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=0.0}, mean_radiance={blue=null, green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820702015362LGN00,3.5,"{cloud_count=1567.0, shadow_count=68.0, water_count=1.0, snow_count=0.0, lake_SR={blue=0.3112, green=0.3248, red=0.2305, nir=0.0981, swir1=0.0595, swir2=0.0518}}",0.254,2015-12-28T22:55:23,362.95513457175923,29.108192443847656,"{swir1=6.017332071469634, swir2=1.6212394817068208}","{bkgd_rad={tir1=7.444019169853811, tir2=6.704905789177697}, lake_rad={tir1=7.7118635333895424, tir2=6.884821969687395}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=2152.0}, mean_radiance={blue=181.39037039488824, green=157.1052739497758, red=98.07898704378987, nir=34.41521658710123}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820712013324LGN00,3.6100006103515625,"{cloud_count=133.0, shadow_count=77.0, water_count=485.0, snow_count=0.0, lake_SR={blue=0.23152268041237137, green=0.2208276288659795, red=0.1575604123711342, nir=0.07094536082474226, swir1=0.06060845360824743, swir2=0.053268247422680444}}",0.262,2013-11-20T22:57:16,324.9564466666667,24.37860107421875,"{swir1=6.91470349692096, swir2=1.8744125985885305}","{bkgd_rad={tir1=8.816395040391953, tir2=7.953938034486527}, lake_rad={tir1=9.162574351240103, tir2=8.18640475953703}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=2321.0}, mean_radiance={blue=192.97075920595842, green=157.69949494039312, red=101.51893629834933, nir=35.08852746162344}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820712013340LGN00,4.8,"{cloud_count=null, shadow_count=null, water_count=null, snow_count=null, lake_SR=null}",0.26,2013-12-06T22:57:17,340.95644876157405,26.056732177734375,"{swir1=null, swir2=null}","{bkgd_rad={tir1=null, tir2=null}, lake_rad={tir1=null, tir2=null}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=2087.0}, mean_radiance={blue=null, green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820712013356LGN00,4.060000610351563,"{cloud_count=0.0, shadow_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25,2013-12-22T22:57:07,356.95633755787037,27.951778411865234,"{swir1=null, swir2=null}","{bkgd_rad={tir1=6.323202718890776, tir2=5.873249023610895}, lake_rad={tir1=null, tir2=null}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=54.0}, mean_radiance={blue=null, green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820712014007LGN00,3.4600006103515626,"{cloud_count=271.0, shadow_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.252,2014-01-07T22:56:58,7.956230011574074,29.530982971191406,"{swir1=5.988080382347107, swir2=1.5263272307135842}","{bkgd_rad={tir1=8.697821319462305, tir2=7.965961582738541}, lake_rad={tir1=9.050376241857355, tir2=8.120385899263269}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=298.0}, mean_radiance={blue=118.84551059498506, green=88.66621847713695, red=54.955727969898895, nir=29.068654957939597}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820712014039LGN00,4.160000610351562,"{cloud_count=1439.0, shadow_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25,2014-02-08T22:56:36,39.955979756944444,31.385234832763672,"{swir1=null, swir2=null}","{bkgd_rad={tir1=4.065007031021486, tir2=3.7333595431700384}, lake_rad={tir1=null, tir2=null}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=0.0}, mean_radiance={blue=null, green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820712014055LGN00,5.830000305175782,"{cloud_count=2269.0, shadow_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.255,2014-02-24T22:56:23,55.955830219907405,32.208126068115234,"{swir1=null, swir2=null}","{bkgd_rad={tir1=6.981643478756859, tir2=6.461562995373467}, lake_rad={tir1=null, tir2=null}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=0.0}, mean_radiance={blue=null, green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820712014135LGN00,4.260000610351563,"{cloud_count=168.0, shadow_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.256,2014-05-15T22:55:12,135.95500635416667,44.67566680908203,"{swir1=null, swir2=null}","{bkgd_rad={tir1=6.467158243222489, tir2=5.737087663653847}, lake_rad={tir1=null, tir2=null}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=0.0}, mean_radiance={blue=null, green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820712014151LGN00,3.7600006103515624,"{cloud_count=0.0, shadow_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.259,2014-05-31T22:55:16,151.9550495138889,47.168548583984375,"{swir1=null, swir2=null}","{bkgd_rad={tir1=7.678781797246235, tir2=7.187904000482639}, lake_rad={tir1=null, tir2=null}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=0.0}, mean_radiance={blue=null, green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820712014167LGN00,3.6199996948242186,"{cloud_count=0.0, shadow_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.264,2014-06-16T22:55:22,167.95512627314815,48.64996337890625,"{swir1=null, swir2=null}","{bkgd_rad={tir1=7.822927979759244, tir2=7.229215225616059}, lake_rad={tir1=null, tir2=null}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=1185.0}, mean_radiance={blue=null, green=null, red=null, nir=null}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820712014199LGN00,3.3399993896484377,"{cloud_count=813.0, shadow_count=438.0, water_count=227.0, snow_count=0.0, lake_SR={blue=0.21734625550660772, green=0.19837136563876656, red=0.11471894273127749, nir=0.01831233480176211, swir1=0.013614096916299561, swir2=0.012900000000000007}}",0.263,2014-07-18T22:55:32,199.95523958333334,47.57311248779297,"{swir1=2.3117723515161757, swir2=0.6356816802498186}","{bkgd_rad={tir1=8.026822750111133, tir2=7.461898569936141}, lake_rad={tir1=8.678922071992332, tir2=7.935592734803613}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=2247.0}, mean_radiance={blue=107.4759753005917, green=81.35962982982522, red=46.73806005952731, nir=12.440816311091814}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
LC80820712014215LGN00,3.1100006103515625,"{cloud_count=128.0, shadow_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.265,2014-08-03T22:55:40,215.95532510416666,44.92817687988281,"{swir1=8.47172241375364, swir2=2.7622783759544633}","{bkgd_rad={tir1=7.883653072842868, tir2=7.332359511473962}, lake_rad={tir1=8.158079254216162, tir2=7.432346343994141}}","{pixel_counts={valid={blue=2945, green=2945, red=2945, nir=2945}, cloud=0.0, lake=2293.0}, mean_radiance={blue=104.65898235424145, green=83.25564492715371, red=59.465890729749525, nir=30.984595891591663}}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.82045,-15.38972],[167.82389,-15.396589999999993],[167.82706,-15.397670000000007],[167.840195,-15.395349000000005],[167.84174000000002,-15.392370000000001],[167.83908,-15.386000000000001],[167.82938,-15.382940000000001],[167.82157,-15.386740000000001],[167.82045,-15.38972]]]}"
